地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
4,13101.0,千代田区,68893.0,18.0,64747.0,32318.0,32429.0,4146.0,2207.0,1939.0,39450.0,36248.0,2676.0,526.0
4,13102.0,中央区,187887.0,131.0,175151.0,83456.0,91695.0,12736.0,6381.0,6355.0,106809.0,97737.0,7245.0,1827.0
4,13103.0,港区,268158.0,118.0,245215.0,114523.0,130692.0,22943.0,11768.0,11175.0,154065.0,137966.0,12706.0,3393.0
4,13104.0,新宿区,351874.0,-647.0,304040.0,151914.0,152126.0,47834.0,25088.0,22746.0,230894.0,192136.0,35477.0,3281.0
4,13105.0,文京区,235082.0,-215.0,219244.0,104002.0,115242.0,15838.0,7906.0,7932.0,130663.0,118060.0,11042.0,1561.0
4,13106.0,台東区,216353.0,177.0,195930.0,99663.0,96267.0,20423.0,10415.0,10008.0,137278.0,120690.0,14577.0,2011.0
4,13107.0,墨田区,287284.0,1.0,270237.0,133424.0,136813.0,17047.0,7978.0,9069.0,170312.0,156705.0,11116.0,2491.0
4,13108.0,江東区,541788.0,73.0,501821.0,246156.0,255665.0,39967.0,19551.0,20416.0,294512.0,267690.0,21908.0,4914.0
4,13109.0,品川区,412872.0,42.0,395783.0,193715.0,202068.0,17089.0,8648.0,8441.0,238148.0,225093.0,10279.0,2776.0
4,13110.0,目黒区,281382.0,8.0,269874.0,126691.0,143183.0,11508.0,6111.0,5397.0,161464.0,152214.0,7054.0,2196.0
4,13111.0,大田区,739504.0,-34.0,707148.0,351752.0,355396.0,32356.0,16080.0,16276.0,417906.0,393726.0,19184.0,4996.0
4,13112.0,世田谷区,922947.0,-234.0,894632.0,422154.0,472478.0,28315.0,14587.0,13728.0,502391.0,479467.0,17420.0,5504.0
4,13113.0,渋谷区,231387.0,-26.0,218584.0,104092.0,114492.0,12803.0,6957.0,5846.0,143577.0,133155.0,8425.0,1997.0
4,13114.0,中野区,340840.0,-262.0,316274.0,159443.0,156831.0,24566.0,13093.0,11473.0,217351.0,196685.0,18595.0,2071.0
4,13115.0,杉並区,577191.0,86.0,554734.0,266350.0,288384.0,22457.0,11430.0,11027.0,334448.0,315764.0,15868.0,2816.0
4,13116.0,豊島区,294166.0,-304.0,257916.0,128749.0,129167.0,36250.0,18704.0,17546.0,187642.0,156998.0,28380.0,2264.0
4,13117.0,北区,362040.0,52.0,330420.0,163882.0,166538.0,31620.0,16102.0,15518.0,211423.0,187621.0,21093.0,2709.0
4,13118.0,荒川区,222149.0,30.0,198469.0,98749.0,99720.0,23680.0,11678.0,12002.0,125336.0,107723.0,15200.0,2413.0
4,13119.0,板橋区,578421.0,-115.0,540750.0,264453.0,276297.0,37671.0,18560.0,19111.0,334593.0,305358.0,25077.0,4158.0
4,13120.0,練馬区,745448.0,-167.0,718749.0,347411.0,371338.0,26699.0,12807.0,13892.0,395347.0,374602.0,16479.0,4266.0
4,13121.0,足立区,698207.0,217.0,653845.0,327382.0,326463.0,44362.0,21676.0,22686.0,379611.0,348603.0,24133.0,6875.0
4,13122.0,葛飾区,469527.0,-120.0,439655.0,218795.0,220860.0,29872.0,15051.0,14821.0,252884.0,232162.0,16839.0,3883.0
4,13123.0,江戸川区,693421.0,-232.0,644948.0,324281.0,320667.0,48473.0,24486.0,23987.0,359984.0,328100.0,26143.0,5741.0
1,13200.0,市部,4188719.0,-2305.0,4074480.0,2004419.0,2070061.0,114239.0,56732.0,57507.0,2111887.0,2024016.0,66062.0,21809.0
4,13201.0,八王子市,557962.0,-554.0,541260.0,270187.0,271073.0,16702.0,8355.0,8347.0,284482.0,271221.0,10311.0,2950.0
4,13202.0,立川市,186112.0,-42.0,179998.0,89164.0,90834.0,6114.0,2963.0,3151.0,97651.0,93004.0,3601.0,1046.0
4,13203.0,武蔵野市,147893.0,-94.0,143695.0,68711.0,74984.0,4198.0,2138.0,2060.0,79145.0,75854.0,2522.0,769.0
4,13204.0,三鷹市,190210.0,-86.0,185410.0,90120.0,95290.0,4800.0,2362.0,2438.0,97513.0,93613.0,2844.0,1056.0
4,13205.0,青梅市,128835.0,-84.0,125773.0,63387.0,62386.0,3062.0,1519.0,1543.0,66002.0,63503.0,1816.0,683.0
4,13206.0,府中市,260205.0,-640.0,253731.0,126809.0,126922.0,6474.0,3080.0,3394.0,130673.0,125612.0,3735.0,1326.0
4,13207.0,昭島市,115626.0,16.0,111988.0,55740.0,56248.0,3638.0,1719.0,1919.0,58102.0,55383.0,2039.0,680.0
4,13208.0,調布市,239167.0,-16.0,233608.0,113316.0,120292.0,5559.0,2826.0,2733.0,124604.0,120187.0,3176.0,1241.0
4,13209.0,町田市,429709.0,-91.0,419685.0,204774.0,214911.0,10024.0,4963.0,5061.0,208700.0,201352.0,5307.0,2041.0
4,13210.0,小金井市,124960.0,-87.0,121319.0,59688.0,61631.0,3641.0,1819.0,1822.0,63296.0,60638.0,2077.0,581.0
4,13211.0,小平市,196353.0,-169.0,190134.0,93092.0,97042.0,6219.0,2986.0,3233.0,96871.0,91970.0,3905.0,996.0
4,13212.0,日野市,188402.0,17.0,184224.0,91960.0,92264.0,4178.0,2174.0,2004.0,94528.0,91247.0,2472.0,809.0
4,13213.0,東村山市,151521.0,-109.0,147296.0,71644.0,75652.0,4225.0,2062.0,2163.0,76061.0,72987.0,2234.0,840.0
4,13214.0,国分寺市,129249.0,-80.0,126026.0,61753.0,64273.0,3223.0,1569.0,1654.0,64546.0,62111.0,1891.0,544.0
4,13215.0,国立市,75971.0,-45.0,73947.0,35836.0,38111.0,2024.0,983.0,1041.0,39763.0,38230.0,1159.0,374.0
4,13218.0,福生市,56528.0,-9.0,51884.0,26069.0,25815.0,4644.0,2471.0,2173.0,31362.0,27763.0,3089.0,510.0
4,13219.0,狛江市,81959.0,-46.0,80278.0,38697.0,41581.0,1681.0,897.0,784.0,43241.0,41918.0,952.0,371.0
4,13220.0,東大和市,84905.0,-86.0,83423.0,40970.0,42453.0,1482.0,630.0,852.0,41117.0,39982.0,740.0,395.0
4,13221.0,清瀬市,75079.0,55.0,73324.0,35298.0,38026.0,1755.0,799.0,956.0,37560.0,36233.0,901.0,426.0
4,13222.0,東久留米市,116186.0,-38.0,113298.0,54936.0,58362.0,2888.0,1305.0,1583.0,56959.0,54938.0,1332.0,689.0
4,13223.0,武蔵村山市,70617.0,19.0,68476.0,34163.0,34313.0,2141.0,975.0,1166.0,33176.0,31569.0,1144.0,463.0
4,13224.0,多摩市,148178.0,51.0,144507.0,70665.0,73842.0,3671.0,1810.0,1861.0,76051.0,73155.0,2148.0,748.0
4,13225.0,稲城市,93884.0,-7.0,91829.0,45777.0,46052.0,2055.0,1094.0,961.0,43265.0,41804.0,1014.0,447.0
4,13227.0,羽村市,54067.0,-34.0,52070.0,26357.0,25713.0,1997.0,983.0,1014.0,26790.0,25270.0,1164.0,356.0
4,13228.0,あきる野市,79077.0,-95.0,77523.0,38546.0,38977.0,1554.0,883.0,671.0,37536.0,36258.0,930.0,348.0
4,13229.0,西東京市,206064.0,-51.0,199774.0,96760.0,103014.0,6290.0,3367.0,2923.0,102893.0,98214.0,3559.0,1120.0
